"ID","AGE","EDUC","SEX","EARN","JOB"
"25","25","3","2","4160","5"
"81","25","3","2","19000","5"
"134","25","3","2","3500","5"
"175","25","1","1","7000","5"
"183","25","4","1","25000","5"
"221","25","4","2","9006","5"
"226","25","4","2","14000","6"
"385","25","4","2","13920","5"
"419","25","2","2","3580","5"
"536","25","2","1","35009","5"
"623","25","3","2","36000","5"
"783","25","4","2","34750","5"
"818","25","4","1","23231","5"
"830","25","2","1","6000","5"
"841","25","2","1","69137","5"
"1015","25","3","1","6057","7"
"1019","25","3","1","40000","5"
"1028","25","4","2","14410","5"
"1205","25","4","1","26400","5"
"1209","25","3","2","12200","5"
"1226","25","4","1","30000","7"
"1376","26","3","1","21015","6"
"1440","26","3","1","37030","5"
"1481","26","3","2","14742","5"
"1649","26","5","1","9000","5"
"1687","26","5","2","30434","7"
"1712","26","1","1","7200","5"
"1716","26","5","1","35350","7"
"1811","26","4","2","21009","5"
"1829","26","4","2","8000","5"
"1861","26","5","1","60450","5"
"1954","26","3","1","21049","5"
"2101","26","3","1","47000","5"
"2158","26","2","1","24615","5"
"2177","26","3","1","40500","7"
"2226","26","2","2","5000","5"
"2227","26","4","2","10000","5"
"2279","26","4","1","70058","5"
"2284","26","3","2","4277","5"
"2391","26","3","1","6900","5"
"2446","26","3","2","5650","5"
"2452","26","3","2","11150","5"
"2453","26","5","2","71088","5"
"2508","26","5","2","7332","6"
"2529","26","5","2","56442","5"
"2559","26","1","2","1300","5"
"2692","26","4","2","15000","5"
"2845","27","3","1","40144","5"
"2856","27","6","1","15050","6"
"2997","27","3","2","28000","5"
"3053","27","5","2","12588","6"
"3055","27","4","1","18746","7"
"3060","27","5","2","37000","5"
"3065","27","3","2","20004","5"
"3066","27","4","2","13004","5"
"3197","27","5","1","25075","6"
"3200","27","3","1","28515","5"
"3477","27","4","2","27100","5"
"3480","27","4","2","28150","5"
"3507","27","4","2","49000","5"
"3514","27","4","2","30100","5"
"3525","27","3","1","19050","5"
"3540","27","5","2","28000","5"
"3636","27","4","2","15010","5"
"3640","27","3","1","24000","5"
"3768","27","2","1","23000","5"
"3788","27","3","1","22000","5"
"4311","28","5","2","81818","5"
"4405","28","3","2","3000","5"
"4452","28","4","2","22220","5"
"4557","28","4","2","20000","5"
"4592","28","2","1","20800","5"
"4753","28","5","2","29250","6"
"4755","28","4","1","9000","5"
"4772","28","3","2","22504","5"
"4796","28","2","1","27490","5"
"4989","28","3","2","9000","5"
"4991","28","6","1","35100","5"
"5039","28","4","1","29762","5"
